iter	Passed	Remaining
934	1462	101
935	1463	100
936	1464	98
937	1465	96
938	1466	95
939	1467	93
940	1468	92
941	1470	90
942	1471	88
943	1472	87
944	1473	85
945	1475	84
946	1476	82
947	1477	81
948	1478	79
949	1479	77
950	1480	76
951	1481	74
952	1482	73
953	1483	71
954	1484	69
955	1485	68
956	1487	66
957	1488	65
958	1489	63
959	1490	62
960	1491	60
961	1493	58
962	1494	57
963	1495	55
964	1496	54
965	1497	52
966	1498	51
967	1499	49
968	1500	48
969	1502	46
970	1503	44
971	1504	43
972	1505	41
973	1506	40
974	1507	38
975	1509	37
976	1510	35
977	1511	33
978	1512	32
979	1513	30
980	1514	29
981	1515	27
982	1516	26
983	1518	24
984	1519	23
985	1520	21
986	1521	20
987	1522	18
988	1523	16
989	1524	15
990	1525	13
991	1527	12
992	1528	10
993	1529	9
994	1530	7
995	1532	6
996	1533	4
997	1534	3
998	1536	1
999	1537	0
